ID_NEWLAND,Area(ha),D_Co2_T/ha,O_SOC_Tm/h,O_Tre_Tm/h,O_Co2_Tot,B_Co2_%,O_PBF_Tm/h,O_Liv_Tm/h,O_NPP_TOT,D_PBF_Tm/h,D_Liv_Tm/h,D_NPP_TOT,B_NPP_%,x_coord,y_coord
"152","0.9486235300","114.201","0.028960080941518","0.000","0.028","0.000258","17.662855","0.000000","16.755400","3.071800","0.000","2.913980","5.7500","526898.2517","4752623.4210"
"153","0.5709226450","114.201","0.029036107399952","0.000","0.017","0.000261","13.175866","0.000000","7.522400","3.071800","0.000","1.753760","4.2893","530670.8682","4752606.7670"
"154","1.6808152890","114.201","0.028784448419298","0.000","0.048","0.000250","8.126056","0.000000","13.658400","3.071800","0.000","5.163130","2.6454","528096.0050","4752511.2860"
"156","1.4457742310","114.201","0.028781382441521","0.000","0.042","0.000254","12.044481","0.000000","17.413600","3.071800","0.000","4.441130","3.9210","527105.9155","4752578.1260"
"157","0.1082967080","114.201","0.028895291219034","0.000","0.003","0.000243","0.000000","2.139004","0.231468","0.000000","17.004","1.840000","0.1258","530551.6135","4752611.5640"
"159","0.8769391890","114.201","0.028745555877686","0.000","0.025","0.000250","9.210901","0.000000","8.077400","3.071800","0.000","2.693780","2.9985","528531.1225","4752596.1900"
"160","1.6433143190","114.201","0.028999257683754","0.000","0.048","0.000256","12.794266","0.000000","21.025000","3.071800","0.000","5.047930","4.1651","526799.1247","4752551.6600"
"161","0.1087677980","114.201","0.028624305403017","0.000","0.003","0.000242","0.000000","0.000000","0.000000","0.000000","0.000","0.000000","0.0000","527294.3143","4752549.6550"
"162","2.1650201890","114.201","0.028792559504509","0.000","0.062","0.000251","3.265281","0.000000","7.069400","3.071800","0.000","6.650510","1.0630","528182.2415","4752500.5240"
"163","1.3820744580","114.201","0.028704098701477","0.000","0.040","0.000253","7.878591","0.000000","10.888800","3.071800","0.000","4.245460","2.5648","527511.7929","4752514.9480"
